10/28/04
Tax Code	Description	Form/Line#	Toggle
602	Cost/basis of items you bought	"Sch F, L2"	N
604	Sales of items you raised	"Sch F, L4"	Y
605	Total cooperative distribution	"Sch F, var"	Y
606	Agricultural program payments	"Sch F, var"	Y
607	CCC loans reported under elec.	"Sch F, var"	Y
608	Crop insurance proceeds	"Sch F, var"	Y
609	Custom hire income	"Sch F, var"	Y
610	Other income	"Sch F, var"	Y
612	Car and truck expense	"Sch F, L12"	N
613	Chemicals	"Sch F, L13"	N
614	Conservation expenses	"Sch F, L14"	N
615	Custom hire work	"Sch F, L15"	N
616	Depreciation	"Sch F, L16"	N
617	Employee benefits programs	"Sch F, L17"	N
618	Feed purchased	"Sch F, L18"	N
619	Fertilizers	"Sch F, L19"	N
620	Freight and trucking	"Sch F, L20"	N
621	"Gasoline, fuel, oil"	"Sch F, L21"	N
622	Insurance	"Sch F, L22"	N
623	Interest - financial inst.	"Sch F, L23a"	N
624	Labor hired	"Sch F, L24"	N
625	Pension and profit sharing	"Sch F, L25"	N
626	Vehicles rented	"Sch F, L26a"	N
627	Repairs and maintenance	"Sch F, L27"	N
628	Seeds and plants	"Sch F, L28"	N
629	Storage and warehousing	"Sch F, L29"	N
630	Supplies purchased	"Sch F, L30"	N
631	Taxes	"Sch F, L31"	N
632	Utilities	"Sch F, L32"	N
633	Veterinary fees	"Sch F, L33"	N
634	Other expenses	"Sch F, L34"	N
638	Sales of items - accrual	"Sch F, L38"	Y
646	Inventory at beginning of year	"Sch F, L46"	N
647	Cost of items for resale	"Sch F, L47"	N
649	Inventory at end of year	"Sch F, L49"	N
683	Other interest expense	"Sch F, L23b"	N
684	Guaranteed payments	"Sch F, L34"	N
685	Preproductive expenses	"Sch F, L34"	Y
686	Other rental expense	"Sch F, L26b"	N
687	CCC loans forfieted	"Sch F, var"	Y
688	Crop ins. amount deferred	"Sch F, L8d"	Y
689	Meals and entertainment (100%)	"Sch F, L34"	N
690	Meals (DOT)	"Sch F, L34"	N
691	Amortization	"Sch F, L34"	N
701	Income from production	"4835, L1"	Y
702	Dist rec from cooperatives	"4835, L2a"	Y
703	Agricultural program payments	"4835, L3a"	Y
704	CCC Loans reported under elec	"4835, L4a"	Y
705	Crop ins proceeds - current yr	"4835, L5a"	Y
706	Other income	"4835, L6"	Y
708	Car/truck expense	"4835, L8"	N
709	Chemicals	"4835, L9"	N
710	Conservation	"4835, L10"	N
711	Custom hire	"4835, L11"	N
712	Depreciation	"4835, L12"	N
713	Employee benefits	"4835, L13"	N
714	Feed purchased	"4835, L14"	N
715	Fertilizer	"4835, L15"	N
716	Freight	"4835, L16"	N
717	Gasoline	"4835, L17"	N
718	Insurance	"4835, L18"	N
719	Interest - financial	"4835, L19a"	N
720	Labor hired	"4835, L20"	N
721	Pension & profit sharing	"4835, L21"	N
722	Rent - machinery	"4835, L22a"	N
723	Repairs	"4835, L23"	N
724	Seeds	"4835, L24"	N
725	Storage	"4835, L25"	N
726	Supplies	"4835, L26"	N
727	Taxes	"4835, L27"	N
728	Utilities	"4835, L28"	N
729	Veterinary	"4835, L29"	N
730	Other expenses	"4835, L30"	N
780	Guaranteed payments	"4835, L30"	N
781	Preproductive expenses	"4835, L30"	Y
782	Rent expense - other	"4835, L22b"	N
783	Meals and entertainment (100%)	"4835, L30"	N
784	CCC loans forf/repaid w/cert	"4835, L4b"	Y
785	Crop ins amt def from prior yr	"4835, L5d"	Y
786	Meals (DOT)	"4835, L30"	N
787	Amortization	"4835, L30"	N
789	Interest expense - other	"4835, L19b"	N
